,ENSEMBL,SYMBOL,ENTREZID
1,ENSG00000116774,OLFML3,56944
2,ENSG00000143248,RGS5,8490
3,ENSG00000000971,CFH,3075
5,ENSG00000204262,COL5A2,1290
6,ENSG00000114854,TNNC1,7134
8,ENSG00000155011,DKK2,27123
9,ENSG00000164093,PITX2,5308
10,ENSG00000153071,DAB2,1601
11,ENSG00000153071,LOC112267931,112267931
12,ENSG00000171522,PTGER4,5734
13,ENSG00000112964,GHR,2690
14,ENSG00000213949,ITGA1,3672
15,ENSG00000164220,F2RL2,2151
16,ENSG00000120708,TGFBI,7045
17,ENSG00000202515,VTRNA1-3,56662
18,ENSG00000112343,TRIM38,10475
19,ENSG00000112378,PERP,64065
20,ENSG00000136235,GPNMB,10457
21,ENSG00000146674,IGFBP3,3486
22,ENSG00000179869,ABCA13,154664
23,ENSG00000104415,CCN4,8840
24,ENSG00000107165,TYRP1,7306
25,ENSG00000173068,BNC2,54796
26,ENSG00000106819,ASPN,54829
27,ENSG00000185585,OLFML2A,169611
28,ENSG00000148677,ANKRD1,27063
29,ENSG00000169129,AFAP1L2,84632
30,ENSG00000174807,CD248,57124
31,ENSG00000150687,PRSS23,11098
32,ENSG00000077498,TYR,7299
33,ENSG00000149591,TAGLN,6876
35,ENSG00000185664,PMEL,6490
36,ENSG00000257839,PHLDA1-DT,120766142
37,ENSG00000139329,LUM,4060
38,ENSG00000187498,COL4A1,1282
39,ENSG00000126778,SIX1,6495
40,ENSG00000137801,THBS1,7057
41,ENSG00000166415,WDR72,256764
43,ENSG00000198796,ALPK2,115701
44,ENSG00000130176,CNN1,1264
45,ENSG00000102359,SRPX2,27286
46,ENSG00000182492,BGN,633
